chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,178301,0,0,0,0,0,4,1.3,0.0,0,Ollie,0.0,514,False,,,60,178301.jpg,0.0,Watkins,1.2,False,,a,2,7,0,26126,26126,6434,6434,0.0,0.0,Watkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,491,52,493,53,487,54,494,54,,,,,,
0.0,0.0,20529,0,0,0,0,0,4,0.0,0.0,0,Glenn,0.0,53,False,Joined Watford on loan until the end of the season on 1/9. - Expected back 01 Jul,2020-09-02T09:00:10.449975Z,50,20529.jpg,0.0,Murray,0.2,False,,n,3,36,0,974,974,3930,3930,0.0,0.0,Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,350,29,343,32,301,33,357,33,,,,,,
75.0,,39155,0,0,0,0,0,3,1.3,1.2,1,Adam,1.0,54,False,Knock - 75% chance of playing,2020-09-14T21:30:11.145732Z,65,39155.jpg,1.0,Lallana,1.2,False,,d,3,36,1,2071,2071,14355,14355,0.2,0.2,Lallana,44,0,0,0,1,0,0,0,0,0,0,0,6,6.8,27.2,2.0,3.6,151,62,21,15,127,62,81,38,,,,,,
,,40845,0,0,0,0,0,3,0.5,0.0,0,Dale,0.0,55,False,,,45,40845.jpg,0.0,Stephens,13.2,False,,a,3,36,0,17146,17146,67452,67452,0.0,0.0,Stephens,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,257,103,246,106,183,66,265,107,,,,,,
,,60307,0,0,0,0,0,3,1.6,1.1,1,Pascal,1.0,57,False,,,60,60307.jpg,1.0,Groß,0.2,False,,a,3,36,1,350,350,1022,1022,0.2,0.2,Groß,11,0,0,0,0,0,0,0,0,0,0,0,4,2.6,0.3,0.0,0.3,182,84,185,101,466,177,203,95,1.0,,2.0,,2.0,
0.0,0.0,61933,0,0,0,0,0,2,0.0,0.0,0,Shane,0.0,58,False,Joined Celtic on loan until the end of the season on 2/9. - Expected back 01 Jul,2020-09-02T09:00:10.465117Z,45,61933.jpg,0.0,Duffy,0.1,False,,n,3,36,0,92,92,1506,1506,0.0,0.0,Duffy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,272,104,261,103,202,82,279,104,,,,,,
50.0,50.0,66242,0,0,0,0,0,3,0.4,0.2,0,Davy,0.0,59,False,Lack of match fitness - 50% chance of playing,2020-09-12T09:00:10.303956Z,50,66242.jpg,0.0,Pröpper,0.1,False,,d,3,36,0,18,18,1145,1145,0.0,0.0,Pröpper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,367,135,362,136,324,107,373,137,,,,,,
0.0,0.0,74471,0,0,0,0,0,3,0.0,0.0,0,Aaron,0.0,60,False,Joined Shanghai SIPG on a permanent deal on 28/8,2020-08-29T10:00:06.731343Z,50,74471.jpg,0.0,Mooy,0.0,False,,u,3,36,0,27,27,420,420,0.0,0.0,Mooy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,370,136,365,137,327,108,376,138,,,,,,
,,78916,0,0,0,0,0,2,1.1,0.6,0,Dan,0.0,61,False,,,45,78916.jpg,0.0,Burn,0.8,False,,a,3,36,0,782,782,4884,4884,0.0,0.0,Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,277,108,266,107,209,87,284,108,,,,,,
,,83299,0,0,0,0,0,2,1.6,1.1,1,Lewis,1.0,62,False,,,50,83299.jpg,1.0,Dunk,8.3,False,,a,3,36,1,7469,7469,35050,35050,0.2,0.2,Dunk,90,0,0,0,3,0,0,0,0,0,0,0,16,20.4,1.2,7.0,2.9,54,26,147,38,80,17,96,30,,,1.0,,,
