,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
148,,,40836,0,0,0,0,1,1,4.5,5.0,2,Vicente,5.0,128,False,,,50,40836.jpg,5.0,Guaita,4.5,False,,a,6,31,15,186647,23319,93872,15645,1.0,3.0,Guaita,270,0,0,1,3,0,0,0,0,0,11,3,57,77.6,0.0,0.0,7.7,40,4,478,46,460,45,142,6,,,,,,
149,0.0,0.0,49413,0,0,0,0,0,2,0.0,0.0,0,James,0.0,129,False,Thigh injury - Unknown return date,2020-08-15T10:00:11.660937Z,45,49413.jpg,0.0,Tomkins,0.0,False,,i,6,31,0,72,12,255,35,0.0,0.0,Tomkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,393,156,378,155,335,136,399,156,,,,,,
150,,,50471,0,0,0,0,0,3,1.5,2.0,1,James,2.0,130,False,,,55,50471.jpg,2.0,McArthur,0.2,False,,a,6,31,6,2163,281,5624,886,0.4,1.1,McArthur,267,0,0,1,3,0,0,0,1,0,0,0,33,58.6,23.9,10.0,9.3,77,30,115,73,173,93,118,59,,,,,,
151,,,50472,0,0,0,0,0,3,1.5,2.0,2,James,2.0,131,False,,,45,50472.jpg,2.0,McCarthy,2.9,False,,a,6,31,6,89058,12307,67395,10923,0.4,1.3,McCarthy,250,0,0,1,3,0,0,0,1,0,0,0,32,37.6,24.0,8.0,7.0,144,54,114,72,182,98,154,75,5.0,,,,,
152,100.0,100.0,54861,0,0,0,0,0,4,-0.2,0.3,1,Christian,0.3,132,False,,2020-09-06T03:00:11.019701Z,55,54861.jpg,1.0,Benteke,0.2,False,,a,6,31,1,11835,1046,17638,774,0.1,0.2,Benteke,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,4.0,0.4,515,53,518,57,223,42,317,41,,,,,,
153,,,55037,0,0,0,0,0,3,4.2,4.7,9,Cheikhou,4.7,133,False,,,50,55037.jpg,4.7,Kouyaté,0.5,False,,a,6,31,14,20199,16704,8006,2812,0.9,2.8,Kouyaté,270,1,0,1,3,0,0,0,0,0,0,2,46,83.6,10.5,61.0,15.6,33,14,193,109,40,18,53,31,,,,,,
154,,,55494,0,0,0,0,0,2,1.8,2.3,0,Joel,2.3,134,False,,,45,55494.jpg,2.3,Ward,1.8,False,,a,6,31,7,35416,2301,40854,7910,0.5,1.6,Ward,270,0,0,1,3,0,0,0,2,0,0,0,32,42.8,13.5,0.0,5.6,123,50,164,40,336,137,189,62,,,,,,
155,,,58786,0,0,-1,1,0,2,-0.5,0.0,0,Martin,0.0,135,False,,,44,58786.jpg,0.0,Kelly,0.7,False,,a,6,31,0,2677,373,36846,4332,0.0,0.0,Kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,360,133,345,132,297,109,367,134,,,,,,
156,0.0,0.0,59125,0,0,0,0,0,4,0.0,0.0,0,Connor,0.0,136,False,Unknown - Unknown return date,2020-09-06T03:00:11.034332Z,45,59125.jpg,0.0,Wickham,1.0,False,,i,6,31,0,20031,2267,45617,7494,0.0,0.0,Wickham,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,396,41,382,46,340,45,402,46,,,,,,
157,,,60252,0,0,0,0,0,3,6.8,7.3,5,Andros,7.3,137,False,,,60,60252.jpg,7.3,Townsend,2.9,False,,a,6,31,22,182377,77732,54603,14117,1.2,3.7,Townsend,270,1,2,1,3,0,0,0,0,0,0,4,73,100.8,92.9,42.0,23.6,16,6,13,8,73,35,21,11,3.0,,3.0,,,
158,,,66975,0,0,-1,1,0,3,0.2,0.7,0,Luka,0.7,138,False,,,59,66975.jpg,1.0,Milivojevic,0.5,False,,a,6,31,2,3769,498,30994,4949,0.1,0.3,Milivojevic,18,0,0,0,0,0,0,0,0,0,0,0,11,14.2,28.5,0.0,4.2,236,96,97,65,528,214,228,103,1.0,,1.0,,1.0,
159,0.0,0.0,74230,0,0,0,0,0,2,0.0,0.0,0,Patrick,0.0,139,False,Shoulder Dislocation - Unknown return date,2020-08-15T10:00:11.682747Z,55,74230.jpg,0.0,van Aanholt,0.1,False,,i,6,31,0,385,60,2873,407,0.0,0.0,van Aanholt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,516,195,519,195,513,194,520,195,2.0,,2.0,,2.0,
160,,,80146,0,0,-1,1,0,4,2.5,3.0,2,Jordan,3.0,140,False,,,59,80146.jpg,3.0,Ayew,4.3,False,,a,6,31,9,52873,6676,198479,36265,0.5,1.5,Ayew,251,0,1,1,3,0,0,0,0,0,0,0,9,22.4,3.3,62.0,8.8,205,24,231,35,38,20,125,26,,,,,4.0,
161,,,82403,1,-1,2,-2,1,3,7.5,8.0,1,Wilfried,8.0,141,True,,,72,82403.jpg,8.0,Zaha,19.5,False,,a,6,31,24,892625,201291,275518,69410,1.1,3.3,Zaha,270,3,0,1,3,0,0,0,1,0,0,3,61,104.4,47.1,124.0,27.6,15,5,49,35,15,5,13,7,,,,,3.0,
162,75.0,,86417,0,0,0,0,0,3,1.9,3.0,0,Jeffrey,3.0,142,False,Muscle injury - 75% chance of playing,2020-09-27T22:00:12.368852Z,55,86417.jpg,4.5,Schlupp,0.2,False,,d,6,31,9,7543,392,5193,2005,0.5,1.6,Schlupp,154,0,1,2,0,0,0,0,1,0,0,1,27,37.8,35.0,22.0,9.5,143,53,78,56,129,72,114,58,,,,,,
163,,,141020,0,0,-1,1,0,3,-0.5,0.0,0,Max,0.0,143,False,,,49,141020.jpg,0.0,Meyer,0.0,False,,a,6,31,0,572,106,1830,269,0.0,0.0,Meyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,467,183,459,184,433,172,472,184,,,,,,
164,100.0,75.0,173954,-1,1,-1,1,0,3,-0.2,0.2,1,Jairo,0.3,144,False,,2020-09-17T13:00:13.792094Z,44,173954.jpg,1.0,Riedewald,0.3,False,,a,6,31,1,12565,11971,7171,2759,0.1,0.2,Riedewald,2,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.3,0.0,0.1,323,151,289,143,313,132,329,152,,,,,,
165,0.0,0.0,232423,0,0,0,0,0,2,0.0,0.0,0,Nathan,0.0,145,False,Knee injury - Unknown return date,2020-08-26T09:30:07.992498Z,40,232423.jpg,0.0,Ferguson,1.3,False,,i,6,31,0,14366,1165,41253,4891,0.0,0.0,Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,349,124,333,122,285,99,355,124,,,,,,
166,,,244723,0,0,1,-1,0,2,3.5,4.0,1,Tyrick,4.0,146,False,,,41,244723.jpg,4.0,Mitchell,25.2,False,,a,6,31,12,857139,92938,133293,26260,1.0,2.9,Mitchell,270,0,1,1,3,0,0,0,0,0,0,0,49,51.2,8.8,2.0,6.2,91,34,199,56,234,75,175,55,,,,,,
167,,,466955,0,0,0,0,0,3,-0.5,0.0,0,Brandon,0.0,147,False,,,45,466955.jpg,0.0,Pierrick,0.1,False,,a,6,31,0,1388,165,2823,449,0.0,0.0,Pierrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,445,175,435,176,405,161,450,176,,,,,,
168,25.0,25.0,19188,0,0,0,0,0,2,0.4,0.6,0,Scott,2.3,486,False,Unknown - 25% chance of playing,2020-09-25T09:00:10.989226Z,45,19188.jpg,7.0,Dann,0.9,False,,d,6,31,7,43532,72,40735,10407,0.5,1.6,Dann,90,0,0,1,0,0,0,0,0,0,0,1,24,15.6,0.4,8.0,2.4,229,92,285,104,181,48,264,91,,,,,,
169,100.0,100.0,232413,0,0,0,0,0,3,0.8,1.3,2,Eberechi,1.3,489,False,,2020-09-06T03:00:11.308404Z,60,232413.jpg,1.3,Eze,0.5,False,,a,6,31,4,10411,1873,20004,3072,0.2,0.7,Eze,98,0,0,0,3,0,0,0,0,0,0,0,19,22.0,24.1,35.0,8.1,206,82,113,71,92,45,135,67,4.0,,,,,
170,75.0,75.0,221272,0,0,0,0,0,2,-0.4,0.0,0,Sam,0.0,522,False,Knock - 75% chance of playing,2020-09-15T22:30:15.910235Z,40,221272.jpg,0.0,Woods,0.3,False,,d,6,31,0,15046,2242,8530,1632,0.0,0.0,Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,348,123,332,121,282,96,354,123,,,,,,
171,,,114536,0,0,0,0,0,2,-0.5,0.0,0,Ryan,0.0,534,False,,,40,114536.jpg,0.0,Inniss,0.1,False,,a,6,31,0,3276,707,1039,432,0.0,0.0,Inniss,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,339,116,323,114,271,87,345,116,,,,,,
172,,,20467,0,0,-1,1,0,3,0.5,0.0,0,Theo,0.0,148,False,,,59,20467.jpg,0.0,Walcott,0.2,False,,a,7,11,0,2012,275,9408,1245,0.0,0.0,Walcott,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,526,213,529,215,526,212,530,214,5.0,,,,,
173,100.0,100.0,41823,0,0,-1,1,0,3,0.5,0.0,0,Fabian,0.0,149,False,,2020-09-10T13:00:10.111328Z,49,41823.jpg,0.0,Delph,0.0,False,,a,7,11,0,487,230,1690,207,0.0,0.0,Delph,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,454,179,445,180,416,166,459,180,,,,,,
174,,,55422,0,0,-1,1,0,3,1.5,1.0,1,Gylfi,1.0,150,False,,,69,55422.jpg,1.0,Sigurdsson,1.1,False,,a,7,11,3,4381,563,37521,4061,0.1,0.4,Sigurdsson,61,0,0,0,0,0,0,0,0,0,0,0,20,13.0,22.1,0.0,3.6,239,99,125,81,549,225,239,111,3.0,,2.0,,1.0,
175,,,57513,0,0,0,0,0,1,0.5,0.0,0,Jonas,0.0,151,False,,,45,57513.jpg,0.0,Lössl,0.2,False,,a,7,11,0,911,117,3134,511,0.0,0.0,Lössl,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,394,44,379,24,337,22,400,44,,,,,,
176,,,59949,0,0,0,0,0,2,4.8,4.3,6,Seamus,4.3,152,False,,,50,59949.jpg,4.3,Coleman,2.4,False,,a,7,11,13,134594,33945,49062,6955,0.9,2.6,Coleman,270,0,1,1,3,0,0,0,0,0,0,1,64,72.2,28.0,15.0,11.6,50,14,99,24,158,40,88,24,,,,,,
177,0.0,0.0,66838,0,0,0,0,0,4,0.0,0.0,0,Cenk,0.0,153,False,Knee injury - Unknown return date,2020-08-15T10:00:11.707165Z,60,66838.jpg,0.0,Tosun,0.0,False,,i,7,11,0,174,30,308,53,0.0,0.0,Tosun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,539,62,540,64,539,64,542,64,,,,,,
178,,,100649,0,0,-1,1,0,3,0.5,0.0,0,Bernard,0.0,154,False,,,59,100649.jpg,0.0,Anício Caldeira Duarte,0.1,False,,a,7,11,0,1914,335,6610,971,0.0,0.0,Bernard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,529,216,532,218,530,216,533,217,4.0,,3.0,,,
179,,,101188,0,0,1,-1,1,2,6.8,6.3,6,Lucas,6.3,155,False,,,61,101188.jpg,6.3,Digne,15.3,False,,a,7,11,19,568677,85107,190280,25945,1.0,3.1,Digne,270,0,2,1,3,0,0,0,0,0,0,4,79,89.4,112.7,24.0,22.6,25,6,7,2,121,25,24,2,2.0,,1.0,,,
180,,,106611,0,0,0,0,0,2,5.5,5.0,2,Michael,5.0,156,False,,,50,106611.jpg,5.0,Keane,4.3,False,,a,7,11,15,197068,25294,59431,12947,1.0,3.0,Keane,270,1,0,1,3,0,0,0,0,0,0,0,72,90.8,11.5,43.0,14.6,23,4,179,46,66,8,60,10,,,,,,
181,,,111234,0,0,0,0,0,1,4.2,3.7,2,Jordan,3.7,157,False,,,50,111234.jpg,3.7,Pickford,9.5,False,,a,7,11,11,319373,23645,153285,28047,0.7,2.2,Pickford,270,0,0,1,3,0,0,0,0,0,7,1,55,56.2,0.0,0.0,5.7,79,11,487,50,471,49,186,11,,,,,,
182,,,120250,0,0,0,0,0,3,2.8,2.3,2,André Filipe,2.3,158,False,,,55,120250.jpg,2.3,Tavares Gomes,0.5,False,,a,7,11,7,13856,2073,13137,2403,0.4,1.3,André Gomes,232,0,0,1,3,0,0,0,0,0,0,0,33,22.4,22.6,22.0,6.7,204,81,122,78,131,73,164,78,,,,,,
183,,,153133,0,0,-1,1,0,3,1.2,0.7,1,Alex,0.7,159,False,,,59,153133.jpg,1.0,Iwobi,0.2,False,,a,7,11,2,1400,259,5894,726,0.1,0.3,Iwobi,23,0,0,0,0,0,0,0,0,0,0,0,4,2.0,6.3,4.0,1.1,312,144,209,119,226,112,300,136,,,,,,
184,,,153673,0,0,-1,1,0,2,0.5,0.0,0,Jonjoe,0.0,160,False,,,44,153673.jpg,0.0,Kenny,0.2,False,,a,7,11,0,2397,327,7335,1134,0.0,0.0,Kenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,371,143,356,142,310,121,378,144,,,,,,
185,0.0,0.0,160987,0,0,0,0,0,3,0.0,0.0,0,Jean-Philippe,0.0,161,False,Achilles injury - Expected back 21 Nov,2020-08-15T10:00:11.729677Z,50,160987.jpg,0.0,Gbamin,0.0,False,,i,7,11,0,66,10,82,12,0.0,0.0,Gbamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,492,197,489,198,476,191,497,198,,,,,,
186,,,164511,0,0,0,0,0,2,3.5,3.0,2,Yerry,3.0,162,False,,,55,164511.jpg,3.0,Mina,1.5,False,,a,7,11,9,40243,5131,29133,6007,0.5,1.6,Mina,270,0,0,1,3,0,0,0,0,0,0,0,59,65.4,2.2,3.0,7.1,65,20,245,76,232,74,153,45,,,,,,
187,,,173807,0,0,-1,1,0,3,1.2,0.7,1,Tom,0.7,163,False,,,54,173807.jpg,1.0,Davies,0.1,False,,a,7,11,2,1470,364,4027,528,0.1,0.4,Davies,2,0,0,0,0,0,0,0,0,0,0,0,6,2.0,0.0,0.0,0.2,311,143,511,209,502,204,325,150,,,,,,
188,,,177815,1,-1,4,-4,1,4,10.8,10.3,6,Dominic,10.3,164,True,,,74,177815.jpg,10.3,Calvert-Lewin,34.2,False,,a,7,11,31,1811940,443075,189711,20737,1.4,4.2,Calvert-Lewin,248,5,0,1,3,0,0,0,0,0,0,5,129,174.2,20.3,223.0,41.7,2,2,136,17,2,1,4,2,,,,,,
189,0.0,0.0,194164,0,0,-1,1,0,2,0.0,0.0,0,Mason,0.0,165,False,Toe Injury - Expected back 28 Nov,2020-09-06T01:30:17.999031Z,49,194164.jpg,0.0,Holgate,0.1,False,,i,7,11,0,168,18,4659,436,0.0,0.0,Holgate,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,471,183,463,182,439,171,476,183,,,,,,
190,,,212319,0,0,0,0,0,4,7.8,7.3,8,Richarlison,7.3,166,False,,,80,212319.jpg,7.3,de Andrade,12.0,False,,a,7,11,22,328937,69020,219052,30721,0.9,2.8,Richarlison,269,1,3,1,3,0,0,0,1,0,0,4,89,107.6,39.9,171.0,31.8,14,8,68,5,7,4,7,4,,,,,2.0,
191,,,222627,0,0,0,0,0,1,0.5,0.0,0,João,0.0,167,False,,,45,222627.jpg,0.0,Virgínia,0.1,False,,a,7,11,0,314,51,1530,239,0.0,0.0,Virgínia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,430,55,421,41,389,39,436,55,,,,,,
192,,,232826,0,0,0,0,0,3,0.5,0.0,0,Anthony,0.0,168,False,,,45,232826.jpg,0.0,Gordon,0.5,False,,a,7,11,0,3745,343,20145,3015,0.0,0.0,Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,436,167,427,168,396,153,442,168,,,,,,
193,,,242058,0,0,-1,1,0,4,1.2,0.7,0,Moise,0.7,169,False,,,59,242058.jpg,1.0,Kean,0.4,False,,a,7,11,2,6906,794,17906,3433,0.1,0.3,Kean,13,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.3,11.0,0.9,537,60,263,38,168,35,302,38,,,,,3.0,
194,0.0,0.0,480455,0,0,0,0,0,2,0.0,0.0,0,Jarrad,0.0,170,False,Ankle injury - Expected back 17 Oct,2020-09-17T01:30:16.017479Z,40,480455.jpg,0.0,Branthwaite,2.2,False,,i,7,11,0,16485,249,124544,13501,0.0,0.0,Branthwaite,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,356,130,340,128,292,105,362,130,,,,,,
195,,,119765,0,0,0,0,0,3,2.8,2.3,2,Allan,2.3,502,False,,,55,119765.jpg,2.3,Marques Loureiro,1.8,False,,a,7,11,7,60700,7201,63255,12184,0.4,1.3,Allan,270,0,0,1,3,0,0,0,0,0,0,0,38,54.4,20.4,8.0,8.2,83,31,134,85,189,102,132,66,,,,,,
196,,,60025,1,-1,2,-2,0,3,6.2,5.7,2,James,5.7,508,False,,,77,60025.jpg,5.7,Rodríguez,27.6,False,,a,7,11,17,1385329,215842,268589,58221,0.7,2.2,Rodríguez,252,1,1,1,3,0,0,0,0,0,0,2,74,88.4,140.0,57.0,28.6,26,10,1,1,43,20,10,5,1.0,,,,,
197,,,121599,0,0,0,0,0,3,2.5,2.0,2,Abdoulaye,2.0,512,False,,,55,121599.jpg,2.0,Doucouré,1.8,False,,a,7,11,6,44964,3144,87828,11575,0.4,1.1,Doucouré,244,0,0,1,3,0,0,0,1,0,0,0,45,41.4,52.0,37.0,13.0,131,50,40,28,85,40,69,40,,,,,,
198,,,40559,0,0,0,0,0,1,-0.5,0.0,0,Fabricio,0.0,171,False,,,40,40559.jpg,0.0,Agosto Ramírez,1.9,False,,a,8,54,0,14079,1718,19260,2878,0.0,0.0,Fabri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,330,25,314,5,262,3,336,25,,,,,,
199,,,55038,-1,1,-2,2,0,3,-0.5,0.0,0,Kevin,0.0,172,False,,,48,55038.jpg,0.0,McDonald,0.1,False,,a,8,54,0,437,99,2770,290,0.0,0.0,McDonald,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,447,177,437,178,407,163,452,178,,,,,,
200,,,61739,0,0,-1,1,0,2,-0.5,0.0,0,Maxime,0.0,173,False,,,44,61739.jpg,0.0,Le Marchand,0.1,False,,a,8,54,0,426,63,5656,596,0.0,0.0,Le Marchand,32,0,0,0,0,0,0,0,1,0,0,0,2,5.0,0.6,0.0,0.6,278,105,279,100,298,110,308,107,,,,,,
201,,,61916,0,0,-1,1,0,3,-0.5,0.0,0,Stefan,0.0,174,False,,,49,61916.jpg,0.0,Johansen,0.0,False,,a,8,54,0,204,33,1603,176,0.0,0.0,Johansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,459,181,450,182,423,169,464,182,5.0,,,,,
202,,,76357,0,0,-1,1,0,3,0.2,0.7,1,Tom,0.7,175,False,,,54,76357.jpg,1.0,Cairney,0.2,False,,a,8,54,2,1213,151,9308,1099,0.1,0.4,Cairney,180,0,0,0,6,0,0,0,2,0,0,0,27,25.2,50.9,3.0,7.9,194,75,41,29,231,116,138,69,4.0,,4.0,,,
203,,,82514,0,0,0,0,0,2,0.2,0.7,1,Tim,0.7,176,False,,,45,82514.jpg,1.0,Ream,0.2,False,,a,8,54,2,1842,110,5128,721,0.2,0.4,Ream,180,0,0,0,6,0,0,0,0,0,0,0,32,28.2,2.6,0.0,3.1,184,77,241,73,348,140,247,83,,,,,,
204,,,83543,0,0,-2,2,0,3,-0.5,0.0,0,Anthony,0.0,177,False,,,53,83543.jpg,0.0,Knockaert,0.1,False,,a,8,54,0,670,134,7012,660,0.0,0.0,Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,500,201,498,202,487,196,505,202,1.0,,3.0,,,
205,,,84915,-1,1,-1,1,0,2,-0.5,0.0,0,Michael,0.0,178,False,,,44,84915.jpg,0.0,Hector,0.3,False,,a,8,54,0,2632,269,8655,1343,0.0,0.0,Hector,237,0,0,0,10,0,0,0,1,0,0,0,33,38.8,11.3,18.0,6.7,139,58,180,47,145,30,162,49,,,,,,
206,0.0,0.0,87107,0,0,-1,1,0,2,0.0,0.0,0,Cyrus,0.0,179,False,Joined Nottingham Forest on loan until the end of the season on 18/9. - Expected back 01 Jul,2020-09-21T00:30:18.332101Z,44,87107.jpg,0.0,Christie,0.1,False,,n,8,54,0,291,10,6316,750,0.0,0.0,Christie,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,364,137,349,136,303,115,371,138,,,,,,
207,,,92259,0,0,-1,1,0,3,0.8,1.3,1,Neeskens,1.3,180,False,,,49,92259.jpg,1.3,Kebano,0.1,False,,a,8,54,4,1752,142,5565,800,0.3,0.8,Kebano,106,0,0,0,3,0,0,0,0,0,0,0,9,1.4,4.5,32.0,3.6,316,147,216,123,97,47,236,108,6.0,,1.0,,,
208,,,96994,0,0,0,0,0,4,1.8,2.3,1,Bobby,2.3,181,False,,,55,96994.jpg,2.3,Decordova-Reid,0.2,False,,a,8,54,7,7572,478,7489,1539,0.4,1.3,Decordova-Reid,124,1,0,0,3,0,0,0,1,0,0,0,34,36.6,10.8,47.0,9.4,147,17,188,29,56,26,116,23,,,,,,
209,,,101105,0,0,0,0,0,2,0.8,1.3,0,Joe,1.3,182,False,,,50,101105.jpg,1.3,Bryan,0.8,False,,a,8,54,4,8184,717,26167,5153,0.3,0.8,Bryan,270,0,1,0,10,0,0,0,1,0,0,0,47,46.0,31.5,25.0,10.3,112,45,87,19,117,24,103,31,3.0,,5.0,,,
210,0.0,0.0,122074,-1,1,-1,1,0,1,0.0,0.0,0,Marcus,0.0,183,False,Joined Middlesbrough on loan until the end of the season on 10/9. - Expected back 01 Jul,2020-09-10T14:30:11.949431Z,44,122074.jpg,0.0,Bettinelli,0.1,False,,n,8,54,0,184,51,2891,287,0.0,0.0,Bettinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,368,36,353,16,307,14,375,36,,,,,,
211,,,128389,0,0,0,0,0,4,4.5,5.0,2,Aleksandar,5.0,184,False,,,60,128389.jpg,5.0,Mitrović,19.6,False,,a,8,54,15,363315,31009,560788,123664,0.8,2.5,Mitrović,207,2,0,0,7,0,0,0,1,0,0,3,49,78.2,19.9,135.0,22.6,38,9,139,18,9,6,23,10,,,2.0,,1.0,
212,0.0,0.0,149266,0,0,-1,1,0,2,0.0,0.0,0,Alfie,0.0,185,False,Joined Bristol City on loan until the end of the season on 6/9. - Expected back 01 Jul,2020-09-07T02:00:12.698046Z,44,149266.jpg,0.0,Mawson,0.0,False,,n,8,54,0,130,17,1023,87,0.0,0.0,Mawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,369,141,354,140,308,119,376,142,,,,,,
213,,,155529,0,0,0,0,0,1,-0.2,0.3,0,Marek,0.3,186,False,,,45,155529.jpg,1.0,Rodák,0.5,False,,a,8,54,1,5192,154,11448,1756,0.1,0.2,Rodák,90,0,0,0,3,0,0,0,0,0,2,0,11,18.2,0.0,0.0,1.8,216,21,405,38,367,36,285,21,,,,,,
214,,,166324,0,0,0,0,0,3,1.5,2.0,2,Ivan Ricardo,2.0,187,False,,,55,166324.jpg,2.0,Neves Abreu Cavaleiro,0.1,False,,a,8,54,6,1960,269,4155,644,0.4,1.1,Cavaleiro,270,0,0,0,10,0,0,0,0,0,0,0,24,29.6,78.7,41.0,14.9,177,67,21,15,75,37,57,33,2.0,,,,,
215,,,168765,-1,1,-1,1,0,3,0.5,1.0,0,Josh,1.0,188,False,,,49,168765.jpg,1.5,Onomah,0.1,False,,a,8,54,3,1605,119,5754,868,0.2,0.6,Onomah,131,0,0,0,7,0,0,0,0,0,0,0,7,12.0,7.4,2.0,2.1,244,101,204,114,241,118,275,124,,,,,,
216,,,170271,0,0,-2,2,0,3,-0.5,0.0,0,Jean Michaël,0.0,189,False,,,48,170271.jpg,0.0,Seri,0.1,False,,a,8,54,0,1758,460,5446,661,0.0,0.0,Seri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,450,178,440,179,410,164,455,179,,,,,,
217,,,197030,0,0,0,0,0,3,0.5,1.0,0,Aboubakar,1.0,190,False,,,50,197030.jpg,1.0,Kamara,0.1,False,,a,8,54,3,3480,255,4915,765,0.2,0.6,Kamara,170,0,0,0,8,0,0,0,1,0,0,0,2,6.6,41.2,7.0,5.0,270,119,65,47,194,104,207,95,,,,,2.0,
218,,,203325,0,0,0,0,0,3,2.2,2.7,2,André-Frank,2.7,191,False,,,45,203325.jpg,2.7,Zambo Anguissa,2.8,False,,a,8,54,8,189075,13224,68030,10154,0.6,1.8,Anguissa,207,0,1,0,7,0,0,0,0,0,0,0,47,72.6,61.9,26.0,16.1,49,21,34,24,112,58,49,27,,,,,,
219,0.0,0.0,208998,0,0,-1,1,0,2,0.0,0.0,0,Zeze Steven,0.0,192,False,Joined Bristol City on loan until the end of the season on 7/9. - Expected back 01 Jul,2020-09-08T09:30:15.158422Z,44,208998.jpg,0.0,Sessegnon,0.1,False,,n,8,54,0,266,36,5947,496,0.0,0.0,Sessegnon,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,373,145,358,144,314,124,380,146,,,,,,
220,,,153366,0,0,0,0,0,3,0.8,1.3,0,Harrison,1.3,373,False,,,45,153366.jpg,2.0,Reed,1.3,False,,a,8,54,4,44028,2495,37448,5638,0.3,0.9,Reed,159,0,0,0,7,0,0,0,0,0,0,0,31,23.6,19.6,8.0,5.1,202,79,140,89,184,99,205,93,,,,,,
221,,,169528,0,0,-1,1,0,2,-0.5,0.0,0,Antonee,0.0,484,False,,,44,169528.jpg,0.0,Robinson,0.1,False,,a,8,54,0,565,178,3257,406,0.0,0.0,Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,372,144,357,143,312,123,379,145,,,,,,
222,,,151086,0,0,0,0,0,3,-0.2,0.3,0,Mario,0.3,493,False,,,45,151086.jpg,1.0,Lemina,0.8,False,,a,8,54,1,7258,549,31364,4274,0.1,0.2,Lemina,20,0,0,0,0,0,0,0,0,0,0,0,2,2.4,0.1,0.0,0.3,304,137,305,151,364,138,320,146,,,,,,
223,,,84182,0,0,0,0,0,1,0.2,0.7,1,Alphonse,0.7,516,False,,,45,84182.jpg,1.0,Areola,1.3,False,,a,8,54,2,26287,2399,36598,6502,0.2,0.4,Areola,180,0,0,0,7,0,0,0,0,0,5,0,28,43.6,0.0,0.0,4.3,119,14,389,30,349,28,223,14,,,,,,
