chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,James,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,184386.jpg,0.0,Bree,0.0,False,,u,2,7,0,15,15,89,89,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,262,115,256,115,221,104,268,115,,,,,,
,,184704,0,0,0,0,0,3,0.5,0.0,0,Marvelous,0.0,44,False,,,45,184704.jpg,0.0,Nakamba,0.6,False,,a,2,7,0,671,671,1232,1232,0.0,0.0,Nakamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,263,87,257,88,222,63,269,90,,,,,,
,,193488,0,0,0,0,0,3,1.6,0.0,0,Anwar,0.0,45,False,,,60,193488.jpg,0.0,El Ghazi,0.2,False,,a,2,7,0,255,255,478,478,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,484,187,485,188,481,184,486,188,5.0,,2.0,,2.0,
,,199798,0,0,0,0,0,2,1.1,0.0,0,Ezri,0.0,46,False,,,45,199798.jpg,0.0,Konsa Ngoyo,0.2,False,,a,2,7,0,185,185,341,341,0.0,0.0,Konsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,268,118,262,118,228,108,274,118,,,,,,
,,203368,0,0,0,0,0,2,1.1,0.0,0,Frédéric,0.0,47,False,,,45,203368.jpg,0.0,Guilbert,0.2,False,,a,2,7,0,89,89,251,251,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,270,120,264,120,231,110,276,120,,,,,,
0.0,0.0,213345,0,0,0,0,0,4,0.0,0.0,0,Wesley,0.0,48,False,Knee injury - Unknown return date,2020-08-15T10:00:11.458856Z,60,213345.jpg,0.0,Moraes,0.0,False,,i,2,7,0,38,38,76,76,0.0,0.0,Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,487,53,488,53,484,54,489,54,,,,,1.0,
,,217487,0,0,0,0,0,4,1.3,0.0,0,Mbwana,0.0,49,False,,,60,217487.jpg,0.0,Samatta,0.1,False,,a,2,7,0,282,282,422,422,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,488,54,489,54,485,55,490,55,,,,,,
,,221239,0,0,0,0,0,4,0.5,0.0,0,Keinan,0.0,50,False,,,45,221239.jpg,0.0,Davis,15.8,False,,a,2,7,0,37674,37674,20508,20508,0.0,0.0,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,280,21,274,23,244,24,286,24,,,,,,
,,223349,0,0,0,0,0,4,0.5,0.0,0,Indiana,0.0,51,False,,,45,223349.jpg,0.0,Vassilev,2.2,False,,a,2,7,0,10216,10216,5470,5470,0.0,0.0,Vassilev,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,283,22,277,24,247,25,289,25,,,,,,
,,230046,0,0,0,0,0,3,0.9,0.0,0,Douglas Luiz,0.0,52,False,,,50,230046.jpg,0.0,Soares de Paulo,0.4,False,,a,2,7,0,627,627,871,871,0.0,0.0,Douglas Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,385,141,384,141,370,129,389,142,,,4.0,,,
